dysprosium-174,dysprosium 174,dysprosium,dysprosium,66,108,-41370,503,1,8012,3,1,173.955587,0.00054,1
holmium-176,holmium 176,holmium,holmium,67,109,-39290,503,1,7997,3,1,175.95782,0.00054,1
erbium-178,erbium 178,erbium,erbium,68,110,-40260,596,1,7999,3,1,177.956779,0.00064,1
thulium-180,thulium 180,thulium,thulium,69,111,-37920,503,1,7982,3,1,179.959291,0.00054,1
thulium-181,thulium 181,thulium,thulium,69,112,-35170,596,1,7967,3,1,180.962243,0.00064,1
ytterbium-182,ytterbium 182,ytterbium,ytterbium,70,112,-38820,401,1,7984,2,1,181.958325,0.00043,1
ytterbium-183,ytterbium 183,ytterbium,ytterbium,70,113,-35100,401,1,7964,2,1,182.962319,0.00043,1
ytterbium-184,ytterbium 184,ytterbium,ytterbium,70,114,-32540,503,1,7951,3,1,183.965067,0.00054,1
ytterbium-185,ytterbium 185,ytterbium,ytterbium,70,115,-28500,503,1,7929,3,1,184.969404,0.00054,1
lutetium-185,lutécium 185,lutetium,lutécium,71,114,-33888,298,1,7954,2,1,184.96362,0.00032,1
lutetium-186,lutécium 186,lutetium,lutécium,71,115,-30210,401,1,7935,2,1,185.967568,0.00043,1
polonium-186,polonium 186,polonium,polonium,84,102,4100.974,18.286,0,7695.951,0.098,0,186.004402577,1.963e-05,0
lutetium-187,lutécium 187,lutetium,lutécium,71,116,-27580,401,1,7922,2,1,186.970392,0.00043,1
polonium-187,polonium 187,polonium,polonium,84,103,2828.597,31.898,0,7704.763,0.171,0,187.003036624,3.4243e-05,0
lutetium-188,lutécium 188,lutetium,lutécium,71,117,-23790,503,1,7902,3,1,187.97446,0.00054,1
hafnium-189,hafnium 189,hafnium,hafnium,72,117,-27162,298,1,7917,2,1,188.97084,0.00032,1
hafnium-190,hafnium 190,hafnium,hafnium,72,118,-25030,401,1,7907,2,1,189.973129,0.00043,1
tantalum-191,tantale 191,tantalum,tantale,73,118,-26492,298,1,7911,2,1,190.97156,0.00032,1
tantalum-192,tantale 192,tantalum,tantale,73,119,-23064,401,1,7894,2,1,191.97524,0.00043,1
astatine-192,astate 192,astatine,astate,85,107,2925.854,27.876,0,7709.727,0.145,0,192.003141034,2.9926e-05,0
tantalum-193,tantale 193,tantalum,tantale,73,120,-20870,401,1,7884,2,1,192.977595,0.00043,1
tungsten-193,tungstène 193,tungsten,tungstène,74,119,-26287,196,1,7908,1,1,192.97178,0.00021,1
radon-193,radon 193,radon,radon,86,107,9042.911,25.112,0,7675.852,0.13,0,193.009707964,2.6958e-05,0
tantalum-194,tantale 194,tantalum,tantale,73,121,-17300,503,1,7866,3,1,193.981428,0.00054,1
tungsten-194,tungstène 194,tungsten,tungstène,74,120,-24526,298,1,7899,2,1,193.97367,0.00032,1
radon-194,radon 194,radon,radon,86,108,5723.495,16.899,0,7695.001,0.087,0,194.006144424,1.8141e-05,0
tungsten-195,tungstène 195,tungsten,tungstène,74,121,-21010,298,1,7882,2,1,194.977445,0.00032,1
rhenium-195,rhénium 195,rhenium,rhénium,75,120,-25579,298,1,7902,2,1,194.97254,0.00032,1
tungsten-196,tungstène 196,tungsten,tungstène,74,122,-18880,401,1,7872,2,1,195.979731,0.00043,1
rhenium-196,rhénium 196,rhenium,rhénium,75,121,-22542,298,1,7887,2,1,195.9758,0.00032,1
tungsten-197,tungstène 197,tungsten,tungstène,74,123,-15140,401,1,7854,2,1,196.983747,0.00043,1
rhenium-197,rhénium 197,rhenium,rhénium,75,122,-20502,298,1,7878,2,1,196.97799,0.00032,1
francium-197,francium 197,francium,francium,87,110,10253.971,54.404,0,7673.763,0.276,0,197.01100809,5.8404e-05,0
rhenium-198,rhénium 198,rhenium,rhénium,75,123,-17139,401,1,7862,2,1,197.9816,0.00043,1
osmium-198,osmium 198,osmium,osmium,76,122,-23837,196,1,7891,1,1,197.97441,0.00021,1
francium-198,francium 198,francium,francium,87,111,9574.024,32.222,0,7679.205,0.163,0,198.010278138,3.4591e-05,0
rhenium-199,rhénium 199,rhenium,rhénium,75,124,-14860,401,1,7851,2,1,198.984047,0.00043,1
osmium-199,osmium 199,osmium,osmium,76,123,-20484,196,1,7875,1,1,198.97801,0.00021,1
osmium-200,osmium 200,osmium,osmium,76,124,-18779,298,1,7868,1,1,199.97984,0.00032,1
iridium-200,iridium 200,iridium,iridium,77,123,-21611,196,1,7878,1,1,199.9768,0.00021,1
